season,playerId,player,team,position,conference,bio_firstName,bio_lastName,bio_height,bio_weight,bio_jersey,bio_position,bio_homeCity,bio_homeState,bio_homeCountry,bio_homeLatitude,bio_homeLongitude,bio_homeCountyFIPS,bio_recruitIds,bio_recruitIds_count,stat_receiving_LONG,stat_receiving_REC,stat_receiving_TD,stat_receiving_YDS,stat_receiving_YPR,stat_interceptions_AVG,stat_interceptions_INT,stat_interceptions_TD,stat_interceptions_YDS,stat_kickReturns_AVG,stat_kickReturns_LONG,stat_kickReturns_NO,stat_kickReturns_TD,stat_kickReturns_YDS,stat_passing_ATT,stat_passing_COMPLETIONS,stat_passing_INT,stat_passing_PCT,stat_passing_TD,stat_passing_YDS,stat_passing_YPA,stat_puntReturns_AVG,stat_puntReturns_LONG,stat_puntReturns_NO,stat_puntReturns_TD,stat_puntReturns_YDS,stat_rushing_CAR,stat_rushing_LONG,stat_rushing_TD,stat_rushing_YDS,stat_rushing_YPC,stat_punting_In_20,stat_punting_LONG,stat_punting_NO,stat_punting_TB,stat_punting_YDS,stat_punting_YPP,stat_kicking_FGA,stat_kicking_FGM,stat_kicking_LONG,stat_kicking_PCT,stat_kicking_PTS,stat_kicking_XPA,stat_kicking_XPM,stat_defensive_PD,stat_defensive_QB_HUR,stat_defensive_SACKS,stat_defensive_SOLO,stat_defensive_TD,stat_defensive_TFL,stat_defensive_TOT,stat_fumbles_FUM,stat_fumbles_LOST,stat_fumbles_REC
2011,-1000609,Dan Marcoux,Akron,DT,MAC,Dan,Marcoux,75.0,275.0,60.0,DT,Ramsey,NJ,USA,41.0573188,-74.1409771,34003,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,482030,Dee Frieson,Akron,WR,MAC,Dee,Frieson,68.0,,83.0,WR,Jacksonville,FL,USA,30.3321838,-81.655651,12031,159354,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,514614,Devonte Morgan,Akron,S,MAC,Devonte,Morgan,70.0,,7.0,S,Cleveland,OH,USA,41.5051613,-81.6934446,39035,154687,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,378437,Doug Richardson,Akron,S,MAC,Doug,Richardson,72.0,,9.0,S,Twinsburg,OH,USA,41.3125552,-81.4401129,39153,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000500,Dylan Brumbaugh,Akron,OL,MAC,Dylan,Brumbaugh,77.0,288.0,75.0,OL,Green,OH,USA,40.9468077,-81.4670631,39153,154548,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,509230,Dylan Potts,Akron,WR,Mid-American,Dylan,Potts,71.0,,14.0,WR,Sardis,OH,USA,39.6228541,-80.9126022,39111,157054,1.0,12.0,2.0,0.0,22.0,11.0,,,,,9.3,25.0,7.0,0.0,65.0,1.0,1.0,0.0,1.0,0.0,41.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000558,Emmanuel Lartey,Akron,CB,MAC,Emmanuel,Lartey,71.0,182.0,31.0,CB,College Park,GA,USA,33.6534427,-84.4493725,13121,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000620,Erik Waderker,Akron,WR,MAC,Erik,Waderker,67.0,165.0,31.0,WR,Belpre,OH,USA,39.2772629,-81.5757932,39167,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000583,Gary Ransom,Akron,LB,MAC,Gary,Ransom,72.0,212.0,47.0,LB,Zanesville,OH,USA,39.9403453,-82.0131924,39119,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000603,Hasan Hazime,Akron,DE,MAC,Hasan,Hazime,77.0,270.0,96.0,DE,Pickering,ON,Canada,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000597,Ian Folmar,Akron,OT,MAC,Ian,Folmar,77.0,330.0,71.0,OT,Warren,OH,USA,41.237557,-80.818417,39155,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000523,Isaiah Williams,Akron,OL,MAC,Isaiah,Williams,75.0,296.0,56.0,OL,Cleveland,OH,USA,41.5051613,-81.6934446,39035,154558,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000591,Jake Anderson,Akron,OT,MAC,Jake,Anderson,78.0,305.0,73.0,OT,Erie,PA,USA,42.1294712,-80.0852695,42049,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000589,Jamar Williams,Akron,LB,MAC,Jamar,Williams,71.0,215.0,50.0,LB,Columbus,OH,USA,39.9622601,-83.0007065,39049,156502,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000602,James Harvey,Akron,DT,MAC,James,Harvey,76.0,284.0,97.0,DT,Cochranton,PA,USA,41.5200534,-80.0483929,42039,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000582,James Price,Akron,DL,MAC,James,Price,74.0,308.0,99.0,DL,Braddock,PA,USA,40.4034024,-79.8683824,42003,154770,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000595,Jared Fagnano,Akron,WR,MAC,Jared,Fagnano,70.0,182.0,30.0,WR,Williamsport,PA,USA,41.2493292,-77.0027671,42081,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000566,Jarrod Pughsley,Akron,OL,MAC,Jarrod,Pughsley,77.0,313.0,76.0,OL,Lima,OH,USA,40.7399785,-84.105006,39003,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000532,Jawon Chisholm,Akron,RB,MAC,Jawon,Chisholm,73.0,205.0,7.0,RB,Harrisburg,PA,USA,40.2663107,-76.8861122,42043,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000613,Jeff Palmer,Akron,DE,MAC,Jeff,Palmer,73.0,226.0,62.0,DE,Harmony,PA,USA,40.8027772,-80.1280528,42019,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,482034,Jerrod Dillard,Akron,WR,Mid-American,Jerrod,Dillard,77.0,,88.0,WR,Adrian,MI,USA,41.8975152,-84.0373054,26091,159139,1.0,23.0,7.0,1.0,76.0,10.9,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,-11.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,
